1;31;12;38
2;27;10;39
3;33;41;22
4;25;42;20
5;23;43;21
6;24;13;36
7;34;9;23
8;35;16;24
9;17;47;19
10;15;48;13
11;38;6;27
12;39;7;28
13;40;8;29
14;16;46;30
15;36;49;25
16;37;50;26
17;45;28;4
18;41;27;5
19;42;26;6
20;43;32;7
21;44;33;8
22;14;34;50
23;11;35;1
24;12;36;2
25;13;37;3
26;46;38;14
27;50;18;41
28;49;17;42
29;2;40;15
30;1;39;16
31;5;19;47
32;4;20;46
33;3;21;12
34;47;22;9
35;48;23;10
36;6;24;43
37;7;25;44
38;8;31;45
39;9;30;48
40;10;29;49
41;18;4;31
42;19;5;11
43;20;2;33
44;21;3;34
45;22;1;35
46;26;14;32
47;32;11;37
48;30;44;17
49;28;15;40
50;29;45;18
